"Kategorie_zamestnani_CZ_ISCO";"Pocet_zamestnancu_v_tis";"Kc_mes_median";"Kc_mes_1_decil";"Kc_mes_1_kvartil";"Kc_mes_3_kvartil";"Kc_mes_9_decil";"Kc_mes_prumer";"odmeny_%";"priplatky_%";"nahrady_%";"hod_mes";"CZ_ISCO";"Povolani"
"2619 Podnikovi pravnici, ostatni specialiste v oblasti prava ";2.7054;47534.1355;25855.7304;32916.4026;69902.3486;101454.6971;59267.9591;18.69;1.63;6.85;170.8174;"2619";"Podnikovi pravnici, ostatni specialiste v oblasti prava "
"2631 Specialiste v oblasti ekonomie";4.7554;41943.712;22105.1457;30550.3664;58360.8175;80036.9096;49875.8229;18.82;2.45;6.56;168.784;"2631";"Specialiste v oblasti ekonomie"
"2632 Sociologove, antropologove a specialiste v pribuznych oborech";0.196;30559.7167;19308.9157;23896.6885;40540.5748;54326.5384;34326.5481;6.04;0.53;4.94;174.4663;"2632";"Sociologove, antropologove a specialiste v pribuznych oborech"
"2635 Specialiste v oblasti socialni prace";1.2651;22468.9723;15834.249;19186.2252;28689.8316;33157.8649;24094.6536;6.27;1.3;6.36;173.2521;"2635";"Specialiste v oblasti socialni prace"
"2636 Specialiste v cirkevni oblasti a v pribuznych oblastech";1.5973;20531.4484;14218.6058;17457.3797;25332.8382;30739.626;21971.0423;12.77;4.27;3.78;173.3366;"2636";"Specialiste v cirkevni oblasti a v pribuznych oblastech"
"2642 Redaktori, novinari a pribuzni pracovnici";4.823;27995.6607;14625.5648;19995.226;37378.0644;49715.4502;31601.4816;7.16;3.87;6.43;172.5031;"2642";"Redaktori, novinari a pribuzni pracovnici"
"2654 Reziseri, dramaturgove, produkcni a pribuzni specialiste";0.8598;32780.4854;10320.0428;13182.9147;44353.4368;61097.0321;35322.6964;7.68;2.96;6.04;179.5127;"2654";"Reziseri, dramaturgove, produkcni a pribuzni specialiste"
"2656 Moderatori v rozhlasu, televizi a ostatni moderatori";0.1385;39242.3558;29215.4624;31522.8327;51207.186;70660.7431;46435.441;10.59;6.93;6.77;172.1731;"2656";"Moderatori v rozhlasu, televizi a ostatni moderatori"
"3111 Technici v chemickych a fyzikalnich vedach (krome chemickeho inzenyrstvi)";2.3145;28706.201;20123.1607;23700.2227;36052.9535;45365.0673;31465.2539;15.37;3.43;6.28;170.2277;"3111";"Technici v chemickych a fyzikalnich vedach (krome chemickeho inzenyrstvi)"
"3112 Stavebni technici";25.1865;25518.8806;13137.5037;18930.4056;33532.2814;43798.1698;27954.9614;15.24;1.47;6.98;172.9831;"3112";"Stavebni technici"
