"Kategorie_zamestnani_CZ_ISCO";"Pocet_zamestnancu_v_tis";"Kc_mes_median";"Kc_mes_1_decil";"Kc_mes_1_kvartil";"Kc_mes_3_kvartil";"Kc_mes_9_decil";"Kc_mes_prumer";"odmeny_%";"priplatky_%";"nahrady_%";"hod_mes";"CZ_ISCO";"Povolani";"Dataset"
"83";"3211 Technici a asistenti pro obsluhu lekarskych zarizeni";1044;28497;21348;24520;35307;44093;30879;12.13;10.91;7.5;179.8284;"3211";"Technici A Asistenti Pro Obsluhu Lekarskych Zarizeni";"Soukroma sfera"
"84";"3212 Odborni laboranti a laboratorni asistenti v oblasti zdravotnictvi";3832;26766;20040;23091;31676;37805;28334;12.39;5.1;7.06;175.8819;"3212";"Odborni Laboranti A Laboratorni Asistenti V Oblasti Zdravotnictvi";"Soukroma sfera"
"85";"3213 Farmaceuticti asistenti";4775;24051;18494;21525;29961;36514;26068;16.3;0.86;7.45;175.7862;"3213";"Farmaceuticti Asistenti";"Soukroma sfera"
"86";"3221 Vseobecne sestry bez specializace";36237;21826;14039;17983;26626;30614;22421;10.19;5.56;7.23;171.5624;"3221";"Vseobecne Sestry Bez Specializace";"Soukroma sfera"
"87";"3222 Porodni asistentky bez specializace";1227;26695;22263;23050;29721;33117;27349;6.58;11.46;6.37;169.4823;"3222";"Porodni Asistentky Bez Specializace";"Soukroma sfera"
"88";"3255 Odborni pracovnici v oblasti rehabilitace";1880;22910;16321;19238;26436;29599;23063;11.86;2.46;7.37;168.2554;"3255";"Odborni Pracovnici V Oblasti Rehabilitace";"Soukroma sfera"
"89";"3256 Zdravotnicti asistenti (prakticke sestry)";1792;19701;16814;17866;22325;24924;20253;5.91;11.15;6.45;167.1381;"3256";"Zdravotnicti Asistenti (prakticke Sestry)";"Soukroma sfera"
"90";"3258 Zdravotnicti zachranari";144;27433;22385;24927;29419;32407;27348;9.63;17.61;6.59;171.9344;"3258";"Zdravotnicti Zachranari";"Soukroma sfera"
"91";"3259 Nutricni asistenti,ergoterapeuti bez specializace,ost.odborni zdravotnicti pracovnici";502;26882;19464;22280;36335;47699;30624;14.46;1.71;6.42;173.0729;"3259";"Nutricni Asistenti,ergoterapeuti Bez Specializace,ost.odborni Zdravotnicti Pracovnici";"Soukroma sfera"
"92";"3311 Zprostredkovatele financnich transakci a financni makleri ";1147;29400;21340;24061;42400;73013;41382;17.96;0.41;7.16;172.6167;"3311";"Zprostredkovatele Financnich Transakci A Financni Makleri";"Soukroma sfera"
"93";"3312 Odborni pracovnici v oblasti peneznictvi";12648;35176;23594;28716;46114;63477;41250;22.88;3.73;6.67;172.0204;"3312";"Odborni Pracovnici V Oblasti Peneznictvi";"Soukroma sfera"
"94";"3313 Odborni pracovnici v oblasti ucetnictvi, ekonomiky a personalistiky";67520;26940;16639;21130;35153;46141;30512;15.7;1.02;6.67;171.9515;"3313";"Odborni Pracovnici V Oblasti Ucetnictvi, Ekonomiky A Personalistiky";"Soukroma sfera"
"95";"3314 Odborni pracovnici v oblasti matematiky, statistiky a pojistne matematiky";280;36808;19898;28338;44707;60773;39622;16.43;1.8;6.2;168.985;"3314";"Odborni Pracovnici V Oblasti Matematiky, Statistiky A Pojistne Matematiky";"Soukroma sfera"
"96";"3321 Odborni pracovnici v oblasti pojistovnictvi";5578;29603;20436;24722;36063;47174;32901;22.97;1.53;6.74;169.8163;"3321";"Odborni Pracovnici V Oblasti Pojistovnictvi";"Soukroma sfera"
"97";"3322 Obchodni zastupci";55312;27315;11147;18892;44256;62969;34523;24.03;0.76;6.15;172.2388;"3322";"Obchodni Zastupci";"Soukroma sfera"
"98";"3323 Nakupci";16672;29397;16542;22021;37922;52364;33082;17.04;1.29;6.45;170.7565;"3323";"Nakupci";"Soukroma sfera"
